osm_id,plant_name,bmu_id,ngc_bmu_id,bmu_type,source,notes
way/616340682,Wind Farm,T_DOREW-1,DOREW-1,T,auto,
way/616340682,Wind Farm,T_DOREW-2,DOREW-2,T,auto,
way/616340682,Wind Farm,T_GRIFW-1,GRIFW-1,T,auto,
way/616340682,Wind Farm,T_GRIFW-2,GRIFW-2,T,auto,
way/616340682,Wind Farm,T_HMGTO-1,HMGTO-1,T,auto,
way/616340682,Wind Farm,T_HMGTO-2,HMGTO-2,T,auto,
way/616340682,Wind Farm,T_LNCSW-1,LNCSO-1,T,auto,
way/616340682,Wind Farm,T_LNCSW-2,LNCSO-2,T,auto,
way/616340682,Wind Farm,T_NOKYW-1,NOKYW-1,T,auto,
way/616340682,Wind Farm,T_NOKYW-2,NOKYW-2,T,auto,
way/616340682,Wind Farm,T_STRNW-1,STRNW-1,T,auto,
relation/7885568,Langage Solar Farm,T_LAGA-1,LAGA-1,T,auto,
relation/9456298,Pen y Cae Solar Farm,T_PNYCB-1,PNYCB-1,T,auto,
relation/9574534,Great Knowle Solar Farm,E_GYAR-1,GYAR-1,E,auto,
relation/12718371,Exeter Gas Power Station,E_EXETR-2,EXETR-2,E,auto,
way/16075498,Pembroke Power Station,T_PEMB-11,PEMB-11,T,auto,
way/16075498,Pembroke Power Station,T_PEMB-21,PEMB-21,T,auto,
way/16075498,Pembroke Power Station,T_PEMB-31,PEMB-31,T,auto,
way/16075498,Pembroke Power Station,T_PEMB-41,PEMB-41,T,auto,
way/16075498,Pembroke Power Station,T_PEMB-51,PEMB-51,T,auto,
way/16075498,Pembroke Power Station,T_PEMBSC-61,PMBSC-61,T,auto,
way/143791247,Indian Queens Power Station,T_INDQB-1,INDQB-1,T,auto,
way/178884128,Langage Power Station,T_LAGA-1,LAGA-1,T,auto,
way/345295458,Western Wood Energy Plant,2__LMIDE000,SWT-MID01,G,auto,
way/345295458,Western Wood Energy Plant,2__LNATP000,SWT-NPE01,G,auto,
way/374197421,Chapel Hill Solar Farm,E_CHAPB-1,CHAPB-1,E,auto,
way/406035513,Exeter Energy Recovery Facility,E_EXETR-2,EXETR-2,E,auto,
way/413032680,Plymouth Energy,E_PLYRK-1,PLYRK-1,E,auto,
