bmu_id,ngc_bmu_id,bmUnitName,fuelType,bmUnitType,productionOrConsumptionFlag,generationCapacity,leadPartyName,gspGroupName,interconnectorId,category,mapped
T_ABRBO-1,ABRBO-1,ABRBO-1,WIND,T,P,99.000,Aberdeen Offshore Wind Farm,,,displayable,False
T_AKGLW-2,AKGLW-2,AIKENGALL II,WIND,T,P,63.840,Aikengall 2 CWCL,,,displayable,False
T_AKGLW-3,AKGLW-3,AIKENGALL2A-W,WIND,T,P,163.400,AIK2A Sustainable Energy Ltd,,,displayable,False
T_ANSUW-1,ANSUW-1,An Suidhe 1,WIND,T,P,19.360,Statkraft Markets Gmbh,,,displayable,False
T_BEINW-1,BEINW-1,Beinneun Wind farm,WIND,T,P,108.800,Beinneun Wind Farm Ltd,,,displayable,False
E_BETHW-1,BETHW-1,BETHW-1,WIND,E,P,29.750,SP Renewables (UK) Limited,North Scotland,,displayable,False
T_BHLAW-1,BHLAW-1,Bhlaraidh Windfarm 1,WIND,T,P,108.000,SSE Generation Ltd,,,displayable,False
T_BLLA-1,BLLA-1,T_BLLA-1,WIND,T,P,118.000,SP Renewables (UK) Limited,,,displayable,False
T_BLLA-2,BLLA-2,Black Law Windfarm Extension,WIND,T,P,69.000,SP Renewables (UK) Limited,,,displayable,False
E_BTUIW-2,BTUIW-2,Beinn An Tuirc 2,WIND,E,P,43.700,SP Renewables (UK) Limited,North Scotland,,displayable,False
E_BTUIW-3,BTUIW-3,Beinn an Tuirc III Windfarm,WIND,E,P,52.000,SP Renewables (UK) Limited,North Scotland,,displayable,False
T_CLDCW-1,CLDCW-1,Clyde Central,WIND,T,P,200.000,Clyde Windfarm (Scotland) Ltd,,,displayable,False
T_CLDNW-1,CLDNW-1,Clyde North,WIND,T,P,200.000,Clyde Windfarm (Scotland) Ltd,,,displayable,False
T_CLDSW-1,CLDSW-1,Clyde South,WIND,T,P,150.000,Clyde Windfarm (Scotland) Ltd,,,displayable,False
E_CRGTW-1,CRGTW-1,Craig 2 Wind Farm,WIND,E,P,4.700,British Gas Trading Ltd,South Scotland,,displayable,False
T_CRYRW-2,CRYRW-2,Crystal Rig II Windfarm,WIND,T,P,150.620,Eneco Energy Trade,,,displayable,False
T_CRYRW-3,CRYRW-3,Crystal Rig III,WIND,T,P,13.800,Eneco Energy Trade,,,displayable,False
T_CRYRW-4,CRYRW-4,Crystal Rig IV Wind Farm,WIND,T,P,48.200,Erova Energy Limited,,,displayable,False
T_CUMHW-2,CUMHW-2,T_CUMHW-2,WIND,T,P,126.000,CUMBERHEAD WEST WIND FARM LTD,,,displayable,False
