osm_id,name,operator,capacity_mw,source_bucket,latitude,longitude
way/681379770,Abbey Farm,,,solar,52.4193267,-0.23690032516796278
way/694050268,Abbey Fields Farm,Foresight Group LLP,5.3,solar,51.31850385,0.9107164469622218
way/689356309,Abbots Ann,,7.0,solar,51.1648366,-1.509747753750962
way/956290944,Abbots Moor Farm Anaerobic Digester,Private Developer,1.0,biomass,52.8391606,-2.9234895542657613
way/552554263,Abbots Ripton Solar Farm,,28.6,solar,52.37508355,-0.20119234595561952
relation/18430519,Aberdeen Anaerobic Digestion Plant,,,biomass,57.1892731,-2.1935859593465468
relation/9457091,Abergelli Glas Solar Farm,,7.7,solar,51.70090035,-3.9463632040364356
way/746212386,Aberporth Solar Farm,JBM Solutions,1.5,solar,52.1235575,-4.563928847922014
way/295309162,Achanalt Power Station,Scottish & Southern Energy,3.0,hydro,57.6158932,-4.8326536642226685
way/956074585,Acharn Forest Killin Biomass Plant,Northern Energy Developments,5.6,biomass,56.44730305,-4.344753037523242
way/1524881880,Afon Llan Solar Park,PS Renewables,10.6,solar,51.69302015,-3.94039358383581
way/100549593,Aigas Power Station,SSE Renewables,20.0,hydro,57.4574966,-4.545054917060366
way/277665663,Airfield Farm,,5.0,solar,52.47409905,0.9425412619741418
way/938161768,Albion Close STOR,Mercia Power Response,4.0,gas,53.30949845,-1.1171929121513489
way/797433430,Albrighton,,15.8,solar,52.64422705,-2.245498070142199
way/687525411,Albury Landfill,SITA UK,1.5,gas,51.2262557,-0.4894966966441243
way/974759938,Alders Way STOR,,,other,50.42315905,-3.589751313103054
relation/20742099,Aller Court Farm Solar Park,NESF (formerly British Solar Renewables),15.0,solar,51.05973815,-2.8775190177218173
way/753701906,Allerton Park Incinerator,,,biomass,54.03311165,-1.3821648279028351
way/416998346,Allerton Waste Recovery Park,Amey,27.0,biomass,54.03126025,-1.377872583227747
way/903794089,Allington Energy from Waste,Kent Enviropower (FCC Environment),51.0,biomass,51.2933745,0.4925029404980061
way/956324056,Allt Cheanna Mhuir Hydro,Green Highland Renewables,1.3,hydro,56.9749778,-5.1200406
way/1423497550,Allt Choire a Bhalachain,Green Highland,0.8,hydro,57.056157,-5.081723977375193
way/999985214,Allt Eirichaellach,,0.7,hydro,57.07762525,-5.304846322162232
way/824367579,Allt Essan powerhouse,,1.2,hydro,56.4194328,-4.520968153064306
way/956324059,Allt Ladaidh Hydro,Green Highland Renewables,1.3,hydro,57.07209985,-4.9168308
way/1469892125,Allt Laghain (Laggan),Highland Community Energy Society,0.5,hydro,57.03474955,-4.808324479454421
way/1062565961,Allt Mhor Hydro,Pitmain Hydro Ltd,0.6,hydro,57.0973477,-4.07175975
way/1192135716,Allt Mor Hydro,SSE,,other,56.7023918,-4.187730039147084
way/990890963,Allt Nathrach Hydroelectric Power Plant,,,hydro,56.7137393,-5.00003340385051
way/1469894792,Allt a Chaitchinn (Achlain),Highland Community Energy Society,0.0906,hydro,57.16889545,-4.8498025
way/348314831,Allt na Lairige hydro power station,Scottish Hydro,6.0,hydro,56.3064685,-4.861065228990081
way/1276579594,Altaveedan Wind Farm,,,wind,55.0772003,-6.262057675847815
way/361491953,Altcar Solar Farm,,1.5,solar,53.53387825,-3.066446376643626
way/615273008,Alton Solar Farm,Canadian Solar,11.0,solar,51.144153,-0.9558622680301392
way/955818223,Ambleston Solar Panels,Arqiva Ltd,6.0,solar,51.8988332,-4.866407634438119
way/956290941,Anaerobic Digester Plant,ABP Ellesmere,1.1,biomass,52.84942425,-2.897633353375374
