bmu_id,ngc_bmu_id,bmUnitName,fuelType,bmUnitType,leadPartyName,generationCapacity,side,volume_mwh,abs_volume_mwh,action_count,settlement_date,settlement_period,price_gbp_mwh,bid_offer_pair_id,first_seen_at,last_seen_at,active_latest
1,,,,,,,bid,-156.5,156.5,6,2026-06-10,3,93.18,,2026-06-10T23:40:28Z,2026-06-11T00:20:44Z,False
1,,,,,,,offer,4136.5,4136.5,24,2026-06-10,37,196.33,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
10,,,,,,,bid,-200.0,200.0,5,2026-06-10,3,91.09,,2026-06-10T23:40:28Z,2026-06-11T00:20:44Z,False
10,,,,,,,offer,126.0,126.0,6,2026-06-10,39,196.78,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
11,,,,,,,bid,-97.5,97.5,6,2026-06-10,3,90.0,,2026-06-10T23:40:28Z,2026-06-11T00:20:44Z,False
11,,,,,,,offer,156.5,156.5,6,2026-06-10,39,196.24,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
12,,,,,,,bid,-209.5,209.5,6,2026-06-10,3,89.13,,2026-06-10T23:40:28Z,2026-06-11T00:20:44Z,False
12,,,,,,,offer,189.0,189.0,6,2026-06-10,39,217.24,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
13,,,,,,,bid,-40.5,40.5,2,2026-06-10,7,86.21,,2026-06-10T23:40:28Z,2026-06-11T00:20:44Z,False
13,,,,,,,offer,164.0,164.0,6,2026-06-10,39,223.75,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
14,,,,,,,offer,127.5,127.5,6,2026-06-10,39,236.58,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
15,,,,,,,offer,230.0,230.0,6,2026-06-10,39,209.65,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
16,,,,,,,bid,-0.032,0.032,2,2026-06-10,43,-34.69,,2026-06-10T20:49:44Z,2026-06-11T08:38:23Z,True
16,,,,,,,offer,15.0,15.0,2,2026-06-10,41,223.45,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
17,,,,,,,bid,-0.015,0.015,2,2026-06-10,43,-36.67,,2026-06-10T20:49:44Z,2026-06-11T08:38:23Z,True
17,,,,,,,offer,47.5,47.5,2,2026-06-10,41,235.89,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
18,,,,,,,bid,-0.006,0.006,2,2026-06-10,43,-33.33,,2026-06-10T20:49:44Z,2026-06-11T08:38:23Z,True
18,,,,,,,offer,37.5,37.5,2,2026-06-10,41,249.66,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
19,,,,,,,bid,-0.004,0.004,2,2026-06-10,43,-37.5,,2026-06-10T20:49:44Z,2026-06-11T08:38:23Z,True
19,,,,,,,offer,37.5,37.5,2,2026-06-10,41,254.89,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
2,,,,,,,bid,-0.037,0.037,4,2026-06-10,41,-34.05,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
2,,,,,,,offer,116.0,116.0,4,2026-06-10,37,235.8,,2026-06-10T23:40:28Z,2026-06-11T08:38:23Z,True
20,,,,,,,bid,-0.033,0.033,4,2026-06-10,41,-35.45,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
21,,,,,,,bid,-0.016,0.016,4,2026-06-10,41,-33.75,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
22,,,,,,,bid,-0.025,0.025,4,2026-06-10,41,-34.8,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
23,,,,,,,bid,-0.017,0.017,4,2026-06-10,41,-35.29,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
24,,,,,,,bid,-0.01,0.01,4,2026-06-10,41,-34.0,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
25,,,,,,,bid,-0.014,0.014,4,2026-06-10,41,-30.71,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
26,,,,,,,bid,-0.031,0.031,4,2026-06-10,41,-34.84,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
27,,,,,,,bid,-0.014,0.014,4,2026-06-10,41,-33.57,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
28,,,,,,,bid,-0.013,0.013,4,2026-06-10,41,-39.23,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
29,,,,,,,bid,-0.031,0.031,4,2026-06-10,41,-34.19,,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
2__ASTAT005,AG-ASTK05,STAT_A6,,S,Statkraft Markets Gmbh,50.000,bid,-19.758,19.758,108,2026-06-10,21,99.01,-1; -2; -3; -4; -5,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__ASTAT005,AG-ASTK05,STAT_A6,,S,Statkraft Markets Gmbh,50.000,offer,4.0,4.0,30,2026-06-10,31,133.99,-1; -2; -3; -4; -5; 1; 2; 3; 4,2026-06-10T14:59:17Z,2026-06-11T08:38:23Z,True
2__ASTAT008,AG-ASTK08,STAT_A9,,S,Statkraft Markets Gmbh,16.000,bid,-20.017,20.017,127,2026-06-10,20,104.87,-1; -2; -3,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__ASTAT008,AG-ASTK08,STAT_A9,,S,Statkraft Markets Gmbh,16.000,offer,2.508,2.508,17,2026-06-10,19,127.74,-1; -2; 1,2026-06-10T14:59:17Z,2026-06-11T08:38:23Z,True
2__ASTAT009,AG-ASTK09,STAT_A10,,S,Statkraft Markets Gmbh,12.000,bid,-21.014,21.014,165,2026-06-10,21,97.38,-1; -2; -3; -4; -5,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__ASTAT009,AG-ASTK09,STAT_A10,,S,Statkraft Markets Gmbh,12.000,offer,2.539,2.539,26,2026-06-10,29,134.26,-1; -2; -3; 1; 2; 3,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__BCMRO002,BFSE03,2__BCMRO002,,S,BGI Trading Limited,0.000,bid,-24.933,24.933,22,2026-06-10,30,86.43,-1,2026-06-10T14:30:02Z,2026-06-11T08:38:23Z,True
2__BCMRO002,BFSE03,2__BCMRO002,,S,BGI Trading Limited,0.000,offer,50.55,50.55,27,2026-06-10,19,126.35,-1; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__BFLEX001,AG-BFLX01,2__BFLEX001,,S,Flexitricity Limited,49.000,bid,-0.717,0.717,8,2026-06-10,41,97.16,-1,2026-06-10T20:17:58Z,2026-06-11T08:38:23Z,True
2__BFLEX001,AG-BFLX01,2__BFLEX001,,S,Flexitricity Limited,49.000,offer,0.85,0.85,4,2026-06-10,31,153.35,-1; 1,2026-06-10T14:59:17Z,2026-06-11T08:38:23Z,True
2__BFLEX004,AG-BFLX04,2__BFLEX004,,S,Flexitricity Limited,49.000,bid,-27.9,27.9,27,2026-06-10,21,76.61,-1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__BFLEX004,AG-BFLX04,2__BFLEX004,,S,Flexitricity Limited,49.000,offer,3.408,3.408,5,2026-06-10,27,104.41,-1; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__DUKPR001,AG-DUKP01,UKPR MANW,,S,UK Power Reserve Limited,20.000,bid,-34.636,34.636,90,2026-06-10,20,94.31,-1; -2,2026-06-10T15:49:26Z,2026-06-11T08:38:23Z,True
2__DUKPR001,AG-DUKP01,UKPR MANW,,S,UK Power Reserve Limited,20.000,offer,9.844,9.844,23,2026-06-10,20,143.31,-1; 1; 2,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__DUKPR008,AG-DUKP08,2__DUKPR008,,S,UK Power Reserve Limited,20.000,bid,-15.65,15.65,91,2026-06-10,20,97.2,-1; -2; 1,2026-06-10T15:49:26Z,2026-06-11T08:38:23Z,True
2__DUKPR008,AG-DUKP08,2__DUKPR008,,S,UK Power Reserve Limited,20.000,offer,2.617,2.617,20,2026-06-10,29,139.64,-1; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__FCMRO003,FFSE02,2__FCMRO003,,S,BGI Trading Limited,0.000,bid,-3.85,3.85,3,2026-06-10,39,114.6,-1,2026-06-10T23:40:28Z,2026-06-11T08:38:23Z,True
2__FCMRO003,FFSE02,2__FCMRO003,,S,BGI Trading Limited,0.000,offer,0.55,0.55,1,2026-06-10,22,116.02,1,2026-06-10T23:40:28Z,2026-06-11T08:38:23Z,True
2__GANGE001,AG-GLIM01,2__GANGE001,,S,Limejump Energy Limited,50.000,bid,-23.242,23.242,64,2026-06-10,27,51.49,-1; -2; -3,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__GANGE001,AG-GLIM01,2__GANGE001,,S,Limejump Energy Limited,50.000,offer,5.042,5.042,18,2026-06-10,33,170.89,-2; 1; 2; 3,2026-06-10T15:49:26Z,2026-06-11T08:38:23Z,True
2__GCMRO001,BUXTB-1,2__GCMRO001,,S,BGI Trading Limited,16.379,bid,-93.633,93.633,135,2026-06-10,20,96.33,-1; -2; -3; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__GCMRO001,BUXTB-1,2__GCMRO001,,S,BGI Trading Limited,16.379,offer,24.025,24.025,66,2026-06-10,20,127.97,-1; -2; -3; 1; 2; 3,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__GCMRO002,WTRSB-1,2__GCMRO002,,S,BGI Trading Limited,14.000,bid,-89.915,89.915,155,2026-06-10,19,95.9,-1; -2; -3; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__GCMRO002,WTRSB-1,2__GCMRO002,,S,BGI Trading Limited,14.000,offer,25.407,25.407,73,2026-06-10,19,126.09,-1; -2; -3; 1; 2; 3,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__GFLEX008,AG-GFLX08,2__GFLEX008,,S,Flexitricity Limited,49.000,bid,-17.808,17.808,32,2026-06-10,26,81.91,-1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__GFLEX008,AG-GFLX08,2__GFLEX008,,S,Flexitricity Limited,49.000,offer,0.624,0.624,5,2026-06-10,27,92.4,-1,2026-06-10T23:40:28Z,2026-06-11T08:38:23Z,True
2__GFLEX009,AG-GFLX09,2__GFLEX009,,S,Flexitricity Limited,49.000,bid,-21.183,21.183,22,2026-06-10,27,75.05,-1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__GFLEX009,AG-GFLX09,2__GFLEX009,,S,Flexitricity Limited,49.000,offer,1.0,1.0,1,2026-06-10,27,84.63,-1,2026-06-10T23:40:28Z,2026-06-11T08:38:23Z,True
2__GLOND005,AG-GEDF05,EDF Aggregate Midlands 2,,S,EDF Energy Customers Limited,24.000,bid,-32.919,32.919,107,2026-06-10,19,91.41,-1; -2; 1,2026-06-10T14:17:43Z,2026-06-11T08:38:23Z,True
2__GLOND005,AG-GEDF05,EDF Aggregate Midlands 2,,S,EDF Energy Customers Limited,24.000,offer,2.477,2.477,9,2026-06-10,38,143.24,-1; 1,2026-06-10T20:49:44Z,2026-06-11T08:38:23Z,True
